id,VeiculoID,DataID,HorarioID,OrigemID,DestinoID,VagasDisponibilizadas,Distancia
1,38976,1173,218,46619,43666,4,5.4
2,19027,391,1412,14592,11855,2,7.38
3,47475,501,1034,10703,20052,2,6.62
4,6119,3521,355,14156,20028,2,10.13
5,43569,2379,1322,23993,27853,3,5.86
6,48661,743,645,11840,17242,4,9.35
7,15979,5262,678,3553,9067,2,6.26
8,42263,4966,557,48603,10664,2,13.54
9,35679,1926,1238,2445,3672,3,16.24
10,21779,1460,980,3010,37135,2,4.38
11,10637,1479,720,32000,15770,4,6.22
12,40432,3053,559,42164,21648,2,1.49
13,34376,1717,1077,45723,19824,4,9.72
14,46710,3965,1434,27021,26730,4,6.67
15,44522,2046,186,39696,30234,3,3.2
16,28220,2014,507,36443,27923,4,3.13
17,47892,1361,1121,10018,19468,3,3.49
18,21467,2936,1132,14596,7229,2,4.93
19,17272,4615,1051,6345,4805,3,7.4
20,14164,3830,646,45515,13059,2,10.03
21,15916,4529,1340,44975,5179,4,17.31
22,17200,3483,741,38369,7260,4,12.61
23,43737,2921,564,28046,28706,4,13.87
24,46633,1827,526,45793,44280,3,5.86
25,15928,1677,394,25833,36405,2,10.17
26,16629,3541,982,44978,25989,2,2.92
27,2574,3668,492,43652,32818,4,15.4
28,41462,1937,550,19261,34310,3,5.88
29,34678,766,87,14759,41037,4,7.91
30,20444,4146,75,39710,27930,2,11.45
31,13460,5679,296,44095,18955,3,5.69
32,1040,25,1181,13090,35231,3,16.59
33,738,1856,56,30088,26445,3,5.01
34,47070,2921,721,45340,47093,3,6.98
35,26557,3251,360,24814,48979,3,5.65
36,4255,781,200,21482,24583,2,5.77
37,38786,2834,876,41035,33667,4,8.47
38,5563,2599,687,42182,39481,3,3.7
39,12749,1059,1196,27714,39960,2,16.69
40,15634,3120,215,17235,9206,4,12.61
41,44297,4084,515,7750,69,2,5.89
42,30606,1047,347,157,29705,4,1.5
43,27668,2042,216,43127,32986,2,4.02
44,5878,98,331,29471,37540,4,3.09
45,27480,5652,281,10828,14324,3,3.36
46,25397,2992,501,6945,49967,4,18.71
47,40146,5302,792,25497,34747,3,16.47
48,6889,4353,626,17013,3837,3,13.63
49,49863,5165,665,36385,30699,2,7.42
50,34023,835,1095,16739,27065,2,8.59
51,28150,3029,1028,4446,45067,3,5.4
52,23558,2635,372,18385,20167,4,5.01
53,42967,1058,862,35002,15603,4,2.9
54,29427,4788,1280,44599,20159,2,1.88
55,36761,4847,1428,2607,42827,4,0.0
56,25936,4853,1420,7043,11497,3,9.04
57,17775,2503,104,3470,6424,4,8.52
58,43108,2669,625,123,29804,2,5.57
59,44366,1581,607,49153,6507,4,3.26
60,30591,2941,1046,9849,22547,2,9.35
61,20932,3786,688,27620,1295,3,11.02
62,34554,2999,706,48797,47616,2,13.71
63,37519,2302,1081,17192,13764,4,6.25
64,12630,5232,337,49745,20260,2,2.5
65,20873,3435,164,47409,8080,4,6.17
66,47274,1667,1418,45298,17339,2,7.26
67,46667,3107,544,45723,8339,3,7.88
68,2046,3099,1433,49780,17066,2,7.82
69,4903,2530,1248,11846,34600,2,17.94
70,35451,12,1306,47003,6991,2,11.68
71,2405,3421,928,45521,17773,4,4.51
72,10652,3453,376,38704,9687,4,18.34
73,41203,1746,277,37125,23742,4,0.99
74,10024,4392,683,33284,35845,3,2.68
75,23741,5248,1256,31218,49899,4,11.5
76,18964,4815,978,1777,16053,4,5.43
77,39638,5132,31,41740,43142,4,6.9
78,47657,1462,733,21163,46088,2,9.4
79,19864,3817,168,29252,9183,4,2.79
80,11489,3174,394,18339,13864,2,9.96
81,8065,4193,290,47335,13406,4,9.61
82,13008,392,1305,14984,27597,2,3.3
83,18010,4938,927,31489,41776,4,4.95
84,36607,3024,804,46331,26345,3,2.21
85,40920,3789,68,17815,1778,4,9.85
86,23031,2511,116,11696,45734,2,3.17
87,22126,927,1337,47264,8357,3,5.01
88,20566,3084,50,33799,33230,2,4.9
89,37303,220,979,1215,23220,3,10.29
90,27544,3264,456,38575,13700,3,7.24
91,6578,4813,927,36435,24511,4,12.05
92,48551,4050,475,12699,34776,4,3.68
93,36702,5299,1421,15386,3083,2,12.18
94,4637,2512,1350,38130,4469,2,4.2
95,6521,2839,876,36789,48417,4,4.13
96,4469,3078,468,2837,29377,4,11.33
97,26329,873,1035,36829,42157,4,18.56
98,12448,1465,880,37137,6604,2,10.92
99,2558,5061,652,46557,26107,2,9.99
100,23437,2872,489,18016,32934,4,7.89
101,6654,4076,146,16766,21278,4,12.39
102,32315,2672,1009,43087,37716,3,6.27
103,48463,4350,1029,9494,48165,3,10.21
104,907,4543,741,12142,17511,3,4.69
105,597,3557,1177,43648,30826,3,4.16
106,43186,711,1224,8436,24093,4,2.76
107,47882,4236,252,42667,12808,4,3.74
108,37070,1205,631,15979,26502,3,1.73
109,5207,3833,692,13982,31224,4,8.81
110,12214,753,336,26482,14016,2,1.7
111,21025,1233,1288,12101,36887,3,8.9
112,47987,4774,475,7044,35559,3,11.39
113,9769,2743,948,23250,38222,4,1.56
114,7494,3017,1044,9908,15464,3,4.79
115,48622,2578,405,15941,17638,3,10.65
116,27388,3041,72,38831,38051,2,15.74
117,11916,451,253,27200,15792,4,4.15
118,12510,2026,424,24169,3962,4,14.54
119,21658,1892,1294,20914,43626,4,6.44
120,16063,5158,5,34258,21663,4,2.58
121,18616,4794,626,13694,32755,3,9.75
122,26319,2254,1098,16228,44283,2,5.91
123,25771,4884,303,23589,6902,2,6.51
124,36293,1455,884,125,9077,2,1.35
125,30229,1219,642,19464,29502,2,11.02
126,3149,4677,122,42311,48929,2,2.8
127,9990,2509,1302,6,44701,2,3.75
128,2585,628,1383,35224,13189,3,10.99
129,39072,5682,1070,39036,46644,2,7.42
130,39709,1334,458,11415,40158,4,11.25
131,25289,354,193,12954,20784,4,8.14
132,41564,1665,401,48596,18731,3,7.05
133,42660,4710,742,5082,11487,2,4.04
134,25985,1546,468,21785,13434,2,0.55
135,25586,4515,1185,30196,32856,3,6.85
136,38277,3133,1091,49697,9388,2,9.89
137,15658,3325,445,15447,21500,3,7.08
138,3212,5455,1027,8530,34470,4,5.82
139,26877,583,281,5102,3462,2,10.34
140,39323,760,164,34754,40706,4,8.51
141,16124,1793,480,25297,25022,3,7.81
142,15355,3869,1239,6493,11236,4,15.22
143,39606,985,959,32947,31115,4,9.74
144,45645,10,738,13752,34059,4,2.39
145,11017,1234,214,43089,36343,2,7.54
146,3198,472,56,36049,33576,2,6.0
147,1175,4262,519,38749,18982,2,14.15
148,38398,4629,202,37293,3876,3,4.9
149,5212,42,1291,49318,44979,2,15.73
150,31750,4954,1123,7177,27881,4,5.98
151,14569,3855,559,12428,28052,3,5.83
152,18847,649,426,7208,6615,4,18.4
153,1642,4089,1165,49230,44505,3,3.61
154,29183,581,1055,30980,7976,3,18.64
155,47400,3698,1359,48897,14155,2,14.22
156,39794,3172,907,2710,9972,3,9.24
157,35227,1269,166,20466,24174,4,9.15
158,46019,1468,714,18866,3914,2,14.38
159,4780,2901,1265,49175,36216,3,3.15
160,43068,3499,568,2574,31255,4,4.06
161,26154,1538,882,25085,8557,4,11.43
