HoraID,Hora,Turno
1,00:00:00,Madrugada
2,00:01:00,Madrugada
3,00:02:00,Madrugada
4,00:03:00,Madrugada
5,00:04:00,Madrugada
6,00:05:00,Madrugada
7,00:06:00,Madrugada
8,00:07:00,Madrugada
9,00:08:00,Madrugada
10,00:09:00,Madrugada
11,00:10:00,Madrugada
12,00:11:00,Madrugada
13,00:12:00,Madrugada
14,00:13:00,Madrugada
15,00:14:00,Madrugada
16,00:15:00,Madrugada
17,00:16:00,Madrugada
18,00:17:00,Madrugada
19,00:18:00,Madrugada
20,00:19:00,Madrugada
21,00:20:00,Madrugada
22,00:21:00,Madrugada
23,00:22:00,Madrugada
24,00:23:00,Madrugada
25,00:24:00,Madrugada
26,00:25:00,Madrugada
27,00:26:00,Madrugada
28,00:27:00,Madrugada
29,00:28:00,Madrugada
30,00:29:00,Madrugada
31,00:30:00,Madrugada
32,00:31:00,Madrugada
33,00:32:00,Madrugada
34,00:33:00,Madrugada
35,00:34:00,Madrugada
36,00:35:00,Madrugada
37,00:36:00,Madrugada
38,00:37:00,Madrugada
39,00:38:00,Madrugada
40,00:39:00,Madrugada
41,00:40:00,Madrugada
42,00:41:00,Madrugada
43,00:42:00,Madrugada
44,00:43:00,Madrugada
45,00:44:00,Madrugada
46,00:45:00,Madrugada
47,00:46:00,Madrugada
48,00:47:00,Madrugada
49,00:48:00,Madrugada
50,00:49:00,Madrugada
51,00:50:00,Madrugada
52,00:51:00,Madrugada
53,00:52:00,Madrugada
54,00:53:00,Madrugada
55,00:54:00,Madrugada
56,00:55:00,Madrugada
57,00:56:00,Madrugada
58,00:57:00,Madrugada
59,00:58:00,Madrugada
60,00:59:00,Madrugada
61,01:00:00,Madrugada
62,01:01:00,Madrugada
63,01:02:00,Madrugada
64,01:03:00,Madrugada
65,01:04:00,Madrugada
66,01:05:00,Madrugada
67,01:06:00,Madrugada
68,01:07:00,Madrugada
69,01:08:00,Madrugada
70,01:09:00,Madrugada
71,01:10:00,Madrugada
72,01:11:00,Madrugada
73,01:12:00,Madrugada
74,01:13:00,Madrugada
75,01:14:00,Madrugada
76,01:15:00,Madrugada
77,01:16:00,Madrugada
78,01:17:00,Madrugada
79,01:18:00,Madrugada
80,01:19:00,Madrugada
81,01:20:00,Madrugada
82,01:21:00,Madrugada
83,01:22:00,Madrugada
84,01:23:00,Madrugada
85,01:24:00,Madrugada
86,01:25:00,Madrugada
87,01:26:00,Madrugada
88,01:27:00,Madrugada
89,01:28:00,Madrugada
90,01:29:00,Madrugada
91,01:30:00,Madrugada
92,01:31:00,Madrugada
93,01:32:00,Madrugada
94,01:33:00,Madrugada
95,01:34:00,Madrugada
96,01:35:00,Madrugada
97,01:36:00,Madrugada
98,01:37:00,Madrugada
99,01:38:00,Madrugada
100,01:39:00,Madrugada
101,01:40:00,Madrugada
102,01:41:00,Madrugada
103,01:42:00,Madrugada
104,01:43:00,Madrugada
105,01:44:00,Madrugada
106,01:45:00,Madrugada
107,01:46:00,Madrugada
108,01:47:00,Madrugada
109,01:48:00,Madrugada
110,01:49:00,Madrugada
111,01:50:00,Madrugada
112,01:51:00,Madrugada
113,01:52:00,Madrugada
114,01:53:00,Madrugada
115,01:54:00,Madrugada
116,01:55:00,Madrugada
117,01:56:00,Madrugada
118,01:57:00,Madrugada
119,01:58:00,Madrugada
120,01:59:00,Madrugada
121,02:00:00,Madrugada
122,02:01:00,Madrugada
123,02:02:00,Madrugada
124,02:03:00,Madrugada
125,02:04:00,Madrugada
126,02:05:00,Madrugada
127,02:06:00,Madrugada
128,02:07:00,Madrugada
129,02:08:00,Madrugada
130,02:09:00,Madrugada
131,02:10:00,Madrugada
132,02:11:00,Madrugada
133,02:12:00,Madrugada
134,02:13:00,Madrugada
135,02:14:00,Madrugada
136,02:15:00,Madrugada
137,02:16:00,Madrugada
138,02:17:00,Madrugada
139,02:18:00,Madrugada
140,02:19:00,Madrugada
141,02:20:00,Madrugada
142,02:21:00,Madrugada
143,02:22:00,Madrugada
144,02:23:00,Madrugada
145,02:24:00,Madrugada
146,02:25:00,Madrugada
147,02:26:00,Madrugada
148,02:27:00,Madrugada
149,02:28:00,Madrugada
150,02:29:00,Madrugada
151,02:30:00,Madrugada
152,02:31:00,Madrugada
153,02:32:00,Madrugada
154,02:33:00,Madrugada
155,02:34:00,Madrugada
156,02:35:00,Madrugada
157,02:36:00,Madrugada
158,02:37:00,Madrugada
159,02:38:00,Madrugada
160,02:39:00,Madrugada
161,02:40:00,Madrugada
162,02:41:00,Madrugada
163,02:42:00,Madrugada
164,02:43:00,Madrugada
165,02:44:00,Madrugada
166,02:45:00,Madrugada
167,02:46:00,Madrugada
168,02:47:00,Madrugada
169,02:48:00,Madrugada
170,02:49:00,Madrugada
171,02:50:00,Madrugada
172,02:51:00,Madrugada
173,02:52:00,Madrugada
174,02:53:00,Madrugada
175,02:54:00,Madrugada
176,02:55:00,Madrugada
177,02:56:00,Madrugada
178,02:57:00,Madrugada
179,02:58:00,Madrugada
180,02:59:00,Madrugada
181,03:00:00,Madrugada
182,03:01:00,Madrugada
183,03:02:00,Madrugada
184,03:03:00,Madrugada
185,03:04:00,Madrugada
186,03:05:00,Madrugada
187,03:06:00,Madrugada
188,03:07:00,Madrugada
189,03:08:00,Madrugada
190,03:09:00,Madrugada
191,03:10:00,Madrugada
192,03:11:00,Madrugada
193,03:12:00,Madrugada
194,03:13:00,Madrugada
