SigaaID,Matricula,CursoId,Periodo
1,292990548,44,8
2,386454862,40,8
3,352694582,17,12
4,625402049,16,5
5,519179212,26,8
6,406000913,7,12
7,536209523,40,12
8,900476985,36,6
9,279958193,43,1
10,541683714,26,8
11,29841981,30,4
12,904584056,26,7
13,738841711,35,10
14,88539893,40,4
15,169217450,9,10
16,267428518,37,10
17,350369521,10,9
18,292421178,28,12
19,919285730,18,8
20,548437395,6,4
21,678319033,5,12
22,161971406,34,6
23,579905220,5,1
24,310679782,36,9
25,880107304,42,12
26,193990409,32,4
27,648390635,25,11
28,54293201,14,6
29,227897103,9,8
30,448598924,42,5
31,332915542,23,9
32,863536780,26,1
33,754641,29,10
34,453512260,3,5
35,55193559,27,4
36,557654919,2,12
37,630634820,43,4
38,759422051,21,3
39,225541137,25,12
40,997159643,29,5
41,187988192,25,10
42,469706578,35,6
43,955194750,6,4
44,679596076,36,10
45,577659454,30,3
46,437793469,11,2
47,473843115,40,9
48,979757179,11,1
49,757472195,42,7
50,103616284,9,8
51,902359645,2,2
52,841287495,19,4
53,452699626,34,4
54,828379362,33,5
55,98315060,29,3
56,147167242,44,9
57,1420474,27,1
58,716138171,18,5
59,880544106,18,9
60,36583982,30,8
61,569460471,20,8
62,994180613,16,5
63,861339308,4,3
64,713847972,15,6
65,110352149,44,11
66,903772405,13,4
67,241617987,10,4
68,707380070,2,10
69,547570063,41,9
70,620245982,33,1
71,311018776,31,5
72,132042293,9,7
73,171019801,33,12
74,292513614,37,2
75,436861491,34,5
76,527563151,15,8
77,77367061,35,6
78,522479773,26,11
79,397576760,40,2
80,391034733,40,4
81,537009509,41,8
82,14129814,15,10
83,179825414,34,5
84,669350937,12,7
85,163327885,19,7
86,582103861,19,1
87,926145824,5,2
88,651738862,1,5
89,375858235,8,5
90,921637455,44,12
91,157068437,23,9
92,320887142,13,11
93,504751706,35,9
94,536277927,6,3
95,252328773,1,12
96,25581112,29,7
97,570879334,9,9
98,844257504,38,6
99,164572617,19,2
100,179958475,16,4
101,504942605,35,2
102,380001727,28,11
103,856299176,17,4
104,124124975,44,1
105,244567644,10,10
106,335067141,43,2
107,90862275,26,1
108,539125869,40,6
109,216218751,38,5
110,550920485,39,11
111,964229127,40,11
112,203724671,36,12
113,761151553,16,12
114,939777368,15,6
115,571154903,39,9
116,97849325,24,1
117,596906609,26,10
118,829542309,24,3
119,825440780,32,1
120,435826957,16,10
121,556921043,3,3
122,149231965,16,7
123,851677952,25,9
124,301278404,20,5
125,315496845,22,8
126,411553371,25,5
127,360482020,24,1
128,228131979,21,1
129,987212477,6,6
130,313431393,18,10
131,482524588,12,8
132,937671238,17,10
133,513777298,35,2
134,518615634,11,12
135,716882093,22,3
136,806768648,27,3
137,686934597,35,9
138,86475935,42,10
139,175871318,41,5
140,996645652,29,5
141,157875623,21,3
142,607451732,14,4
143,329482126,7,12
144,523607005,40,12
145,291479002,12,4
146,505921070,33,8
147,444463564,36,5
148,178527985,16,4
149,26708888,33,6
150,575689898,17,7
151,228002038,35,5
152,406240527,22,6
153,239441303,18,4
154,86211031,13,11
155,563717282,4,2
156,702664930,37,9
157,797272056,10,7
158,804301876,14,5
159,490811596,31,5
160,893336478,29,11
161,509728586,32,4
162,469528751,38,7
163,463301127,14,2
164,576900905,26,8
165,455587612,12,4
166,335334476,15,5
167,825109550,37,11
168,384693925,22,2
169,786174866,38,4
170,245253593,24,6
171,582196485,44,12
172,782850296,24,1
173,736270381,40,5
174,172391701,20,3
175,711709505,40,9
176,380660753,44,5
177,44228176,44,2
178,352972016,10,4
179,678093056,17,6
180,141308335,2,7
181,189374560,10,11
182,781519925,7,2
183,608674003,29,6
184,241651716,19,2
185,675879884,2,4
186,87458523,13,9
187,643840470,27,4
188,139039032,27,2
189,153469857,15,10
