DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISÃO,SUBDIVISÕES,MUNICÍPIO,ESTADO
52020040Rua Pereira Simões,52020040,Rua Pereira Simões,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050052Rua Luiz Rodolfo de Araújo,52050052,Rua Luiz Rodolfo de Araújo,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050340Rua da Angustura,52050340,Rua da Angustura,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050345Avenida Conselheiro Rosa e Silva,52050345,Avenida Conselheiro Rosa e Silva,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050350Rua Padre Silvino Guedes,52050350,Rua Padre Silvino Guedes,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050360Rua Lauro Montenegro,52050360,Rua Lauro Montenegro,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050361Rua Natércio de Holanda,52050361,Rua Natércio de Holanda,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050370Rua Manuel de Carvalho,52050370,Rua Manuel de Carvalho,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050390Rua Amapá,52050390,Rua Amapá,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050400Rua Senador Pedro Correia,52050400,Rua Senador Pedro Correia,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050042Rua Samuel Campelo,52050042,Rua Samuel Campelo,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050355Rua Quarenta e Oito,52050355,Rua Quarenta e Oito,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050375Rua Teles Júnior,52050375,Rua Teles Júnior,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050035Avenida Santos Dumont,52050035,Avenida Santos Dumont,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52020041Rua Conselheiro Portela,52020041,Rua Conselheiro Portela,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050033Rua Carneiro Vilela,52050033,Rua Carneiro Vilela,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050038Rua Carneiro Vilela,52050038,Rua Carneiro Vilela,Aflitos,Região Político-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
50750010Rua Nicolau Pereira,50750010,Rua Nicolau Pereira,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750020Rua Gaspar Drumond,50750020,Rua Gaspar Drumond,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750030Rua Claudino dos Santos,50750030,Rua Claudino dos Santos,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750035Rua Jornalista Givanildo Alves,50750035,Rua Jornalista Givanildo Alves,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750040Rua Félix Peixoto,50750040,Rua Félix Peixoto,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750050Rua Rio Araguáia,50750050,Rua Rio Araguáia,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750060Rua Alcedo Marrocos,50750060,Rua Alcedo Marrocos,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750070Rua Firmino de Figueiredo,50750070,Rua Firmino de Figueiredo,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750080Rua Demócrito Cavalcanti,50750080,Rua Demócrito Cavalcanti,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750090Rua Padre Euclides Jardim,50750090,Rua Padre Euclides Jardim,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750100Rua Crisópolis,50750100,Rua Crisópolis,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750110Rua Inconfidentes,50750110,Rua Inconfidentes,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750120Rua Guaraní,50750120,Rua Guaraní,Afogados,Região Político-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
