DADO COMPLETO,CEP,RUA,BAIRRO,TIPO DE SUBDIVISAO,SUBDIVISÕES,MUNICIPIO,ESTADO
52020040Rua Pereira Simões,52020040,Rua Pereira Simões,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050052Rua Luiz Rodolfo de Araujo,52050052,Rua Luiz Rodolfo de Araujo,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050340Rua da Angustura,52050340,Rua da Angustura,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050345Avenida Conselheiro Rosa e Silva,52050345,Avenida Conselheiro Rosa e Silva,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050350Rua Padre Silvino Guedes,52050350,Rua Padre Silvino Guedes,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050360Rua Lauro Montenegro,52050360,Rua Lauro Montenegro,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050361Rua Natercio de Holanda,52050361,Rua Natercio de Holanda,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050370Rua Manuel de Carvalho,52050370,Rua Manuel de Carvalho,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050390Rua Amapa,52050390,Rua Amapa,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050400Rua Senador Pedro Correia,52050400,Rua Senador Pedro Correia,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050042Rua Samuel Campelo,52050042,Rua Samuel Campelo,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050355Rua Quarenta e Oito,52050355,Rua Quarenta e Oito,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050375Rua Teles Junior,52050375,Rua Teles Junior,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050035Avenida Santos Dumont,52050035,Avenida Santos Dumont,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52020041Rua Conselheiro Portela,52020041,Rua Conselheiro Portela,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050033Rua Carneiro Vilela,52050033,Rua Carneiro Vilela,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
52050038Rua Carneiro Vilela,52050038,Rua Carneiro Vilela,Aflitos,Regiao Politico-Administrativa,RPA 03 | Nordeste,Recife,Pernambuco
50750010Rua Nicolau Pereira,50750010,Rua Nicolau Pereira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750020Rua Gaspar Drumond,50750020,Rua Gaspar Drumond,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750030Rua Claudino dos Santos,50750030,Rua Claudino dos Santos,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750035Rua Jornalista Givanildo Alves,50750035,Rua Jornalista Givanildo Alves,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750040Rua Felix Peixoto,50750040,Rua Felix Peixoto,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750050Rua Rio Araguaia,50750050,Rua Rio Araguaia,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750060Rua Alcedo Marrocos,50750060,Rua Alcedo Marrocos,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750070Rua Firmino de Figueiredo,50750070,Rua Firmino de Figueiredo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750080Rua Democrito Cavalcanti,50750080,Rua Democrito Cavalcanti,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750090Rua Padre Euclides Jardim,50750090,Rua Padre Euclides Jardim,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750100Rua Crisopolis,50750100,Rua Crisopolis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750110Rua Inconfidentes,50750110,Rua Inconfidentes,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750120Rua Guarani,50750120,Rua Guarani,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750121Travessa Guarani,50750121,Travessa Guarani,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750130Rua Maguari,50750130,Rua Maguari,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750140Rua Juvanda,50750140,Rua Juvanda,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750150Rua Potiragua,50750150,Rua Potiragua,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750160Rua Gurjau,50750160,Rua Gurjau,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750170Rua Pinare,50750170,Rua Pinare,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750180Rua Cotunguba,50750180,Rua Cotunguba,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750190Rua Tinhorao,50750190,Rua Tinhorao,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750200Rua Sao Lucas,50750200,Rua Sao Lucas,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750210Rua Bugre,50750210,Rua Bugre,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750220Rua Felipe Moura,50750220,Rua Felipe Moura,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750360Estrada dos Remedios,50750360,Estrada dos Remedios,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750590Rua Juriti,50750590,Rua Juriti,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750620Avenida Central,50750620,Avenida Central,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50750635Travessa Juriti,50750635,Travessa Juriti,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760002Rua Capitao Adolfo Taquis,50760002,Rua Capitao Adolfo Taquis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760007Rua Andaluza,50760007,Rua Andaluza,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760008Rua Nogueira de Melo,50760008,Rua Nogueira de Melo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760009Rua Eudoro Pires,50760009,Rua Eudoro Pires,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507602553a Travessa Carlopolis,50760255,3a Travessa Carlopolis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760260Travessa Carlopolis,50760260,Travessa Carlopolis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507602656a Travessa Carlopolis,50760265,6a Travessa Carlopolis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
507602705a Travessa Carlopolis,50760270,5a Travessa Carlopolis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760720Rua Josue Pereira,50760720,Rua Josue Pereira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760730Rua Jurema,50760730,Rua Jurema,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760735Rua Novo Jardim,50760735,Rua Novo Jardim,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760740Rua Realengo,50760740,Rua Realengo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760750Rua Lidia Guimaraes,50760750,Rua Lidia Guimaraes,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50760790Rua Doutor Alberto Moreira,50760790,Rua Doutor Alberto Moreira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770000Rua da Paz,50770000,Rua da Paz,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770011Avenida RPA 06 | Sul Governador Cid Sampaio,50770011,Avenida RPA 06 | Sul Governador Cid Sampaio,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770020Rua Francisco Silveira,50770020,Rua Francisco Silveira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770050Rua da Cajazeira,50770050,Rua da Cajazeira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770060Rua Guiratinga,50770060,Rua Guiratinga,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770070Rua Antonio Macario,50770070,Rua Antonio Macario,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770080Rua Nicolau Pereira,50770080,Rua Nicolau Pereira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770090Rua da Diligencia,50770090,Rua da Diligencia,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770100Praca da Paz,50770100,Praca da Paz,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770110Rua Motocolombo,50770110,Rua Motocolombo,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770120Estrada dos Remedios,50770120,Estrada dos Remedios,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770130Rua Acre,50770130,Rua Acre,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770140Rua General Christovam Colombo de Souza,50770140,Rua General Christovam Colombo de Souza,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770150Rua Joao Carlos Guimaraes,50770150,Rua Joao Carlos Guimaraes,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770170Rua Bom Gosto,50770170,Rua Bom Gosto,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770171Rua Buenopolis,50770171,Rua Buenopolis,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770190Rua Goita,50770190,Rua Goita,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770200Rua Joaquim de Vasconcelos Pereira,50770200,Rua Joaquim de Vasconcelos Pereira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770220Rua Sertaozinho,50770220,Rua Sertaozinho,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770230Rua Jacira,50770230,Rua Jacira,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770240Rua Ribeiro Cesar,50770240,Rua Ribeiro Cesar,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770241Praca do Paraiso,50770241,Praca do Paraiso,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
50770250Rua Augusto Calheiros,50770250,Rua Augusto Calheiros,Afogados,Regiao Politico-Administrativa,RPA 05 | Sudeste,Recife,Pernambuco
